timestamp,escuela,grado,curso,edad,genero,lugar_computadora,uso_computadora,aprender_computadora,dueño_celular,uso_celular,¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?",¿Conocés o alguna vez usaste Wikipedia?,"Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
11/18/2022 9:40:15,Escuela Nueva Juan Mantovani,Cuarto,A,9,Masculino,En la escuela,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa",El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Una red de antenas y satélites,La nube me permite guardar las fotos y videos del celular,No sé.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 9:40:17,Escuela Nueva Juan Mantovani,Cuarto,A,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hablo con amigos","Me enseñaron en la escuela, Aprendí solo",El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En mi celular,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda directamente.,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, La nube me permite guardar las fotos y videos del celular",Podemos hacer exactamente lo mismo con Internet que con la nube.,Sí,No hay forma de saber si la información del artículo es verdadera o falsa.
11/18/2022 9:41:00,Escuela Nueva Juan Mantovani,Cuarto,A,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa, Aprendí solo",Me prestan uno,"Miro videos en YouTube, Juego juegos",No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una red de antenas y satélites,"Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube",No sé.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/18/2022 9:41:14,Escuela Nueva Juan Mantovani,Cuarto,A,9,Femenino,En la escuela,"Juego juegos, Investigo en Wikipedia/Google",Me enseñaron en la escuela,El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Juego juegos",En mi celular,Solo yo.,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una red de antenas y satélites,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, La nube me permite guardar las fotos y videos del celular, Instagram y TikTok usan la nube para compartir sus videos",Podemos hacer exactamente lo mismo con Internet que con la nube.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/18/2022 9:41:27,Escuela Nueva Juan Mantovani,Cuarto,A,9,Masculino,En la escuela,Juego juegos,"Me enseñaron en mi casa",Me prestan uno,"Miro videos en YouTube, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una red de antenas y satélites,"La nube me permite guardar las fotos y videos del celular, Sin la nube sería imposible sacar fotos con el celular",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,No,
11/18/2022 9:43:47,Escuela Nueva Juan Mantovani,Cuarto,A,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos, Uso redes sociales",Aprendí solo,El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,No sé,El mensaje se manda a través de una antena.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una nube,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, La nube me permite guardar las fotos y videos del celular, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube",Podemos hacer exactamente lo mismo con Internet que con la nube.,No,
11/18/2022 10:32:51,Escuela Nueva Juan Mantovani,Cuarto,B,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos",Aprendí solo,El mío,"Hablo con amigos, Hablo por teléfono",En la nube,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Una red de antenas y satélites,"Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, La nube me permite guardar las fotos y videos del celular",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:34:01,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,"Juego juegos, Hago la tarea, Investigo en Wikipedia/Google",Aprendí solo,El mío,"Miro videos en YouTube, Juego juegos, Investigo en Wikipedia/Google",En mi celular,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una parte del celular,"Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, Sin la nube no sería posible hacer llamadas por celular",Internet y la nube no tienen funciones en común.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/18/2022 10:35:07,Escuela Nueva Juan Mantovani,Cuarto,B,10,Masculino,En mi casa,"Juego juegos, Hablo con amigos, Programo/Diseño",Aprendí solo,No uso celular,Nunca uso el celular,No sé,Yo y otras personas.,No sé,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,No sé.,No sé,,,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:35:17,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,Me prestan uno,"Hablo con amigos, Miro videos en YouTube, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una red de antenas y satélites,"La nube me permite guardar las fotos y videos del celular, Instagram y TikTok usan la nube para compartir sus videos",Con Internet podemos hacer más cosas que con la nube.,No,
11/18/2022 10:35:19,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hablo con amigos, Investigo en Wikipedia/Google, Programo/Diseño",Aprendí solo,El mío,"Miro videos en YouTube, Juego juegos, Hablo con amigos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, La nube me permite guardar las fotos y videos del celular, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:35:41,Escuela Nueva Juan Mantovani,Cuarto,B,10,Femenino,En la escuela,"Juego juegos, Miro videos en YouTube",Me enseñaron en la escuela,El mío,"Uso redes sociales, Miro videos en YouTube, Juego juegos, Investigo en Wikipedia/Google",No sé,Yo y otras personas.,No sé,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,No sé.,No sé,,,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:35:54,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,Me prestan uno,"Miro videos en YouTube, Juego juegos",En la nube,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en la Galería de fotos de mi celular.,El mensaje se manda a través de una antena.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una nube,"Sin la nube sería imposible escuchar música en el celular, La nube me permite guardar las fotos y videos del celular, Instagram y TikTok usan la nube para compartir sus videos, Sin la nube sería imposible sacar fotos con el celular",Internet y la nube no tienen funciones en común.,Sí,No hay forma de saber si la información del artículo es verdadera o falsa.
11/18/2022 10:36:53,Escuela Nueva Juan Mantovani,Cuarto,B,10,Femenino,En la escuela,"Juego juegos, Miro videos en YouTube, Hago la tarea, Miro Pelis/Series por streaming","Me enseñaron en mi casa, Me enseñaron en la escuela",El mío,"Hablo con amigos, Uso redes sociales, Hablo por teléfono",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,No sé,,,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:36:58,Escuela Nueva Juan Mantovani,Cuarto,B,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos","Me enseñaron en mi casa",El mío,"Hablo con amigos, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En mi celular,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una nube,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Sin la nube sería imposible sacar fotos con el celular",Con Internet podemos hacer más cosas que con la nube.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/18/2022 10:37:07,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Una red de antenas y satélites,"Sin la nube sería imposible escuchar música en el celular, La nube me permite guardar las fotos y videos del celular, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Sin la nube sería imposible sacar fotos con el celular",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:37:08,Escuela Nueva Juan Mantovani,Cuarto,B,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos",Aprendí solo,El mío,"Uso redes sociales, Miro videos en YouTube",En la nube,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en la Galería de fotos de mi celular.,El mensaje se manda directamente.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una nube,"La nube me permite guardar las fotos y videos del celular, Sin la nube sería imposible sacar fotos con el celular",Con la nube podemos hacer más cosas que con Internet.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/18/2022 10:37:28,Escuela Nueva Juan Mantovani,Cuarto,B,9,Masculino,En mi casa,Programo/Diseño,Me enseñaron en la escuela,Me prestan uno,"Miro videos en YouTube, Hablo por teléfono, Juego juegos, Investigo en Wikipedia/Google",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una computadora gigante,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, Google Maps descarga sus mapas de la nube",Internet y la nube no tienen funciones en común.,Sí,No hay forma de saber si la información del artículo es verdadera o falsa.
